dev_id,dev_name
00dc2cbe-f6d5-4c75-a13a-3def6a1103f4,Game-Labs
00dc5c53-c386-4abe-b751-69751b59ae5e,Iskander Aminov
00de143b-6f9f-4d0a-9f24-36a72c23777f,Hexage
00df118b-627a-4fc7-a6e7-2f15561b46ff,Three Owls In a Trench Coat
00df46d8-34ce-4d26-9a90-7f606b87a2bf,IllFonic Inc.
00dfb442-5910-4f3d-b5d4-91419b515f60,Vireont
00e009ba-4501-45d3-bf24-985051de4669,SmartArt Game Studio
00e0df82-115c-40bd-b4d7-d57786fbf49a,Mantis Shrimp Studio
00e1e641-291d-4104-90fa-9dcb55f6b0cb,Zac Strong
00e376ea-53ed-41dd-a309-cb0e85e4dfa8,Didrik Axelsson
00e37f37-3b4a-4765-930e-1c882fa90dde,IndianaTK
00e74746-d6ea-4917-89d4-e41cd4db1942,Quirkafleeg
00e799c4-d608-4b7c-970f-886aec3db11b,VÃ­ctor Guede
00e7b4a9-bac0-4002-89d3-b3ca09708791,ZettaZed
00e8cb43-d526-4c9c-adbd-958c3750d9d3,Futuruum VR
00e9cccf-9648-4d89-82bd-860e66cfdd54,ä¹±ä¸–ç¾¤é›„
00ec03c0-0489-4fef-ae77-36424775e12c,Tobias Rusjan
00ec41db-5bf9-4a18-a624-bced117c4115,Cobra Mobile
00ec6a06-3c1c-411a-932e-5d43833c1217,Xenture Games
00ed1ea4-41e3-46d1-b132-c9a198d0a437,Vadim Silver
00ee044c-368c-4b9a-994b-d07030b570f5,Xteam software solutions
00ee18fb-ba7a-44de-8e71-6c3e3757c530,å¤§Jæ¸¸æˆ�
00ee2167-7f1a-4bc8-a618-c952fe813ffb,JCVR
00ee47fd-9540-4ec5-b3b2-8c1b322a10bf,æ¸…ä¹‹é¸£
00eeb301-5585-4543-a6ed-c12555465213,Indigo
00eff67b-6e4e-499d-a774-df0e56a19ed3,Inmatrix LTD
00f04594-a5c0-4ecf-82b9-e778a90407cb,Nathaniel Kevin Suriawijaya
00f111e1-38af-414b-a35e-da3ff2a79ccf,Sneaky Bastards
00f1cb2d-cb6f-4375-9ee2-68fb2625545d,POPSAUR
00f3297a-c371-421f-aec9-76b179daedf1,SelfCrop Studio
00f37d6d-f908-452c-a0e5-9df5908d9ea9,Jimbob Games
00f4a3ad-b76f-4ade-98b9-d58308bed2a1,Fragaria
